category_id,name_zh,name_en,recipient_gender,common_occasions,risk_level,notes
C01,香水,Perfume,女/男/中性,生日;情人节;周年;节日,中,味道偏好性强 熟人更易送对
C02,蜡烛香氛,Candle & Home Fragrance,女/中性,乔迁;节日;伴手礼,低,几乎不会出错的"高级感"礼
C03,口红,Lipstick,女,生日;节日;伴手礼,低,色号忌讳少 多以管型/包装认人
C04,护肤品,Skincare,女/男,生日;节日;母亲节,中,需要了解肤质 适合亲近的人
C05,包,Bag,女/男,生日;周年;毕业;升职,高,价格跨度大 风格喜好强 谨慎
C06,钱包卡包,Wallet & Card Holder,女/男,生日;父亲节;周年,低中,实用安全 商务场合常用
C07,首饰-耳环,Earrings,女,生日;情人节;周年,中,需注意是否打耳洞
C08,首饰-项链,Necklace,女,生日;情人节;周年;告白,中,长度款式偏好性强
C09,首饰-手链/手镯,Bracelet,女/男,生日;周年;节日,中,
C10,首饰-戒指,Ring,女/男,周年;求婚;订婚,高,尺寸+寓意敏感 慎送
C11,手表,Watch,男/女,生日;成人礼;升职;退休,中高,机械/智能选择差异大
C12,围巾,Scarf,女/男,生日;节日;过冬,低,材质/颜色容错率高
C13,太阳镜眼镜,Sunglasses,女/男,生日;旅行送别,中,脸型适配性强
C14,鞋,Shoes,女/男,生日;节日;运动,中高,尺码+脚型敏感
C15,茶,Tea,女/男,商务;节日;伴手礼,低,长辈/商务首选
C16,巧克力甜品,Chocolate & Sweets,通用,节日;情人节;伴手礼,低,常用作搭配礼或试探礼
C17,红酒/烈酒,Wine & Spirits,男/女,商务;节日;乔迁,中,需了解对方是否饮酒
C18,笔/文具,Pen & Stationery,男/女,毕业;升职;商务;成人礼,低中,商务场合常见 笔记本搭配
C19,数码配件,Tech Accessories,男/女,生日;节日;入职,低中,实用导向 男生友好
C20,水杯/保温杯,Tumbler & Bottle,通用,生日;节日;伴手礼;运动,低,Stanley/Owala流行带火
C21,玩偶/盲盒,Plush & Collectible,女/儿童,生日;告白;节日;童心礼,低,Jellycat/Labubu流行
C22,鲜花,Flowers,女,情人节;母亲节;生日;探病,低,搭配礼为主 单送略轻
C23,家居摆件,Home Decor,通用,乔迁;新婚;节日,中,审美差异大 慎送
C24,餐具厨具,Tableware & Cookware,通用,新婚;乔迁,中,Le Creuset/Marimekko 安全选项
C25,礼盒/伴手礼,Gift Set,通用,婚礼;节日;商务,低,品牌组合装 安全省力
